abbiegen, biegt ab, bog ab, ist abgebogen	to turn off, bend	abbiegen				An der nächsten Kreuzung müssen Sie links abbiegen.	At the next junction you have to turn left.				
die Abbildung, -en	Illustration	Abbildung	die			Hier in der Abbildung sehen Sie, wie man das Gerät einschaltet.	Here you can see how to turn on the device.				
aber	but	aber				Heute kann ich nicht, aber morgen ganz bestimmt.	I can not today, but certainly tomorrow.	Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.	There was a lot of snow, but Enzo went by motorbike anyway.	Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.	We only have a small apartment, but we are satisfied with it.
"der Abfall, -""e"	waste, rubbish, garbage (not M~)	Abfall	der			Werfen Sie den Bioabfall in die grüne Tonne.	Throw the bio-waste into the green bin.				
abfahren, fährt ab, fuhr ab, ist abgefahren	to depart	abfahren				Unser Zug ist pünktlich abgefahren.	Our train left on time.				
das Abgas, -e	exhaust, waste gas	Abgas	das			Abgase aus Industrie und Haushalten verschmutzen die Luft.	Exhaust gases from industry and households pollute the air.				
abgeben, gibt ab, gab ab, hat abgegeben	to hand in	abgeben				Ich soll dieses Päckchen bei Herrn Müller abgeben.	I should hand over this package to Mr. Müller.				
abhängen, hängt ab, hing ab, hat abgehangen	to take down, uncouple, depend upon	abhängen				Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.	Maybe we stay a few days longer, it depends on the weather.				
abhängig	dependent on	abhängig				Gregor ist finanziell von seinen Eltern abhängig.	Gregor is financially dependent on his parents.				
abheben, hebt ab, hob ab, hat abgehoben	to lift (up)	abheben				Für die Reise habe ich 500 Euro von meinem Konto abgehoben.	For the trip, I have lifted 500 € from my account.				
abholen, holt ab, holte ab, hat abgeholt	to pick up (from a place)	abholen				Meine Freundin hat mich vom Bahnhof abgeholt.	My girlfriend picked me up from the train station.				
das Abitur (Sg.)	school graduation exam	Abitur	das			Meine Tochter hat gerade Abitur gemacht.	My daughter just graduated from high school.				
ablehnen, lehnt ab, lehnte ab, hat abgelehnt	to refuse	ablehnen				Es tut mir leid, Ihr Antrag ist abgelehnt.	"I'm sorry, your application is rejected."				
abmachen, macht ab, machte ab, hat abgemacht	to take off, agree	abmachen (2)				Wir hatten doch abgemacht, dass du die Getränke besorgst.	We had agreed that you get the drinks.				
abnehmen, nimmt ab, nahm ab, hat abgenommen	to take off, remove, take away, loose weight	abnehmen				Morgen können wir den Verband abnehmen.	Tomorrow we can remove the bandage.	Ich habe zehn Kilo abgenommen.	I lost ten pounds.		
abonnieren, abonniert, abonnierte, hat abonniert	to subscribe	abonnieren				Diese Zeitschrift würde ich gerne abonnieren.	I would like to subscribe to this magazine.				
"der Abschluss, -""sse"	school graduation or result	Abschluss	der			Ein guter Schulabschluss ist sehr wichtig.	A good education is very important.				
der Absender, -	sender	Absender	der			Schicken Sie das Päckchen an den Absender zurück.	Send the parcel back to the sender.				
die Absicht, -en	intention	Absicht	die			Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.	Excuse me please. My daughter did not do that on purpose.				
absolut	absolute	absolut				Was Sie da sagen, ist absolut falsch.	What you say is absolutely wrong.	Ich habe absolutes Vertrauen zu dir.	I have absolute confidence in you.		
abstimmen, stimmt ab, stimmte ab, hat abgestimmt	to vote	abstimmen				Lasst uns über diesen Punkt abstimmen.	"Let's vote on this point."				
die Abteilung, -en	Department	Abteilung	die			Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.	My girlfriend works in the department of Mrs. Kaufmann.				
abwaschen, wäscht ab, wusch ab, hat abgewaschen	wash up	abwaschen				Ich muss noch das Geschirr abwaschen.	I still have to wash the dishes.				
ach	Oh	ach				Sie sind krank? Ach, das tut mir aber leid.	"You are sick? Oh, I'm sorry."	Ach so! Jetzt verstehe ich, was Sie meinen.	Oh, right! Now I understand what you mean.	Ach ja, das hatte ich vergessen. Heute gehen wir ja zu deinen Freunden.	Oh, I forgot that. Today we go to your friends.
achten auf, achtet, achtete, hat geachtet	to pay attention (to)	achten auf				Achten Sie bitte darauf, dass abends immer alle Fenster geschlossen sind.	Please make sure that all windows are closed in the evening.	Hier müssen Sie auf die Vorfahrt achten.	Here you must pay attention to the right of way.		
die Achtung (Sg.)	Danger, Attention	Achtung	die			Achtung, hier endet die Straße!	Attention, the road ends here!				
die Adresse, -n	address	Adresse	die			Hast du schon meine neue Adresse?	Do you already have my new address?				
die Agentur, -en	Agency	Agentur	die			Ich habe einen Brief von der Agentur für Arbeit bekommen.	I got a letter from the employment agency.				
ähnlich	similar	ähnlich				Oleg sieht seinem Bruder sehr ähnlich.	Oleg looks very much like his brother.	Emilia ist in einer ganz ähnlichen Situation wie ich.	Emilia is in a similar situation to me.		
aha	Aha	aha				Ich gehe bald in Rente. - Aha, dann haben Sie ja viel Zeit für Ihre Hobbys.	"I'm retiring soon. - Aha, then you have a lot of time for your hobbies."				
die Ahnung, -en	idea, suspicion	Ahnung	die			Ich hatte keine Ahnung, dass du heute Geburtstag hast.	I had no idea that you have a birthday today.				
die Aktion, -en	action	Aktion	die			Die Regierung plant eine Aktion gegen das Rauchen.	The government is planning an action against smoking.				
aktiv	active	aktiv				Ich bin sehr aktiv und mache viel Sport.	I am very active and do a lot of sports.				
die Aktivität, -en	activity	Aktivität	die			In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.	During the holidays, the city offers various leisure activities for children.				
aktuell	current (now)	aktuell				Umweltschutz ist ein aktuelles Thema.	Environmental protection is a current topic.				
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert	to accept	akzeptieren				Ich kann diese Bedingungen nicht akzeptieren.	I can not accept these conditions.				
der Alarm, -e	alarm (as in signal)	Alarm	der			Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.	In case of fire alarm you are not allowed to use the lifts.				
der Alkohol, -e	alcohol	Alkohol	der			Du musst die Wunde mit Alkohol reinigen.	You have to clean the wound with alcohol.	Nein, danke! Ich trinke keinen Alkohol.	No thanks! I do not drink alcohol.		
all-	everything	alles				Alles Gute!	All the best!	Sonst noch (et)was? - Nein, danke. Das ist alles.	"Anything else? - No thanks. That's all."	Sind alle da?	Are all there?
allein	alone	allein				Ich gehe nicht gern allein spazieren.	I do not like to go for a walk alone.	Soll ich Ihnen helfen? - Danke, ich schaffe es schon allein.	Can I help you? - Thanks, I can do it alone.	Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.	It was very expensive. Alone the food has already cost over 50 euros.
aller	all	aller				Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.	Best of all, when you go to bed and sleep for a long time. Then you will get well soon.	Das ist das Allerschönste, was ich je gesehen habe.	"That's the most beautiful thing I've ever seen."		
allerdings	admittedly, certainly	allerdings				Sie können sich noch für den Kurs anmelden, allerdings nur noch bis morgen.	You can still register for the course, but only until tomorrow.				
allgemein	general	allgemein				Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.	In general I am very satisfied with my work.	Wir haben nur über allgemeine Probleme gesprochen.	We only talked about general problems.		
der Alltag, -e	daily routine	Alltag	der			Das ist mein Alltag: putzen, waschen, kochen.	This is my everyday life: cleaning, washing, cooking.				
das Alphabet, -e	alphabet	Alphabet	das			Wie viele Buchstaben hat das Alphabet Ihrer Sprache?	How many letters does the alphabet have in your language?				
als	when, as, than	als				Als mein Mann kam, war die Party schon zu Ende.	When my husband came, the party was over.	Sie können sich sowohl persönlich als auch per Internet anmelden.	You can register both in person and via the internet.	Meine Schwester ist älter als ich.	My sister is older than me.
als ob	as if	als ob				Der Chef tat so, als ob wir nie darüber gesprochen hätten.	The boss pretended we never talked about it.				
also	so, therefore	also				Also, die Sache ist so: ...	So, the thing is ...	Irina hat Urlaub. Sie kann uns also helfen.	Irina is on vacation. So she can help us.	Also wirklich, jetzt reicht es.	"Really, that's enough."
alt	old	alt				Wie alt sind Sie?	How old are they?	Maria ist eine alte Freundin von mir.	Maria is an old friend of mine.		
das Alter, -	age	Alter	das			Wir sind etwa im gleichen Alter.	We are about the same age.	Im Alter bekomme ich eine ausreichende Rente.	At the age I get a sufficient pension.	Alter: 26 Jahre	Age: 26 years
das Altenheim, -e	"old people's home, retirement home"	Altenheim	das			In Deutschland leben viele alte Leute in Altenheimen.	In Germany, many old people live in retirement homes.				
das Altersheim, -e	"old people's home, retirement home"	Altersheim	das			Die Großeltern unserer Nachbarn sind im Altersheim.	The grandparents of our neighbors are in the retirement home.				
die Ampel, -n	traffic light	Ampel	die			Dort an der Ampel kannst du über die Straße gehen.	There at the traffic light you can cross the street.				
"das Amt, -""er"	office	Amt	das			Die Ämter haben heute geschlossen.	The offices have closed today.	Wissen Sie, wo das Ordnungsamt ist?	Do you know where the public order office is?		
sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert	to amuse oneself	sich amüsieren				Bei dem Fest haben wir uns sehr gut amüsiert.	We had a good time at the party.				
analysieren, analysiert, analysierte, hat analysiert	to analyse	analysieren				Die Politiker analysieren die Situation auf dem Arbeitsmarkt.	The politicians analyze the situation on the job market.				
anbieten, bietet an, bot an, hat angeboten	to offer	anbieten				Darf ich Ihnen etwas zu trinken anbieten?	May I offer you something to drink?				
das Angebot, -e	offer	Angebot	das			Ich habe ein paar günstige Wohnungsangebote bekommen.	I got a few cheap housing offers.	Dieser Käse ist heute im Angebot.	This cheese is on sale today.		
ander-	other	andere				Die anderen sind schon nach Hause gegangen.	The others have already gone home.	Bitte nicht alle auf einmal! - Einer nach dem anderen.	Not all at once! - One after the other.	Ich hätte gern ein anderes Auto.	I would like to have another car.
andererseits	on the other hand	andererseits				Tarek will zwar studieren. Andererseits möchte er aber auch gleich Geld verdienen.	Tarek wants to study. On the other hand, he also wants to earn money right away.				
ändern, ändert, änderte, hat geändert	to change	ändern				Das Wetter hat sich geändert.	The weather has changed.	Ich habe meine Meinung inzwischen geändert.	I have changed my mind by now.	Können Sie mir diese Hose ändern?	Can you change these pants for me?
die Änderung, -en	modification, change	Änderung	die			Es gibt eine Programmänderung.	There is a program change.				
anders	different	anders				Anders geht das leider nicht.	Unfortunately, that is not possible.	Oliver ist anders als seine Freunde.	Oliver is different than his friends.	Ich würde das anders machen.	I would do it differently.
anerkennen, erkennt an, erkannte an, hat anerkannt	to recognize	anerkennen				Meine Ausbildung wird hier nicht anerkannt.	My education is not recognized here.				
anfangen, fängt an, fing an, hat angefangen	to begin	anfangen				Wann fängst du mit der Arbeit an?	When do you start working?	Wann haben Sie angefangen, Deutsch zu lernen?	When did you start learning German?	Hier fängt die Bahnhofstraße an.	This is where the Bahnhofstraße begins.
"der Anfang, -""e"	beginning (not B~)	Anfang	der			Wie war der Film? - Ich habe nur den Anfang gesehen.	How was the movie? - I saw only the beginning.	Am Anfang habe ich mich hier sehr fremd gefühlt.	In the beginning I felt very strange here.	Mein Chef ist Anfang Fünfzig.	My boss is in his early fifties.
anfangs	at/ in the beginning	anfangs				Anfangs ging alles gut.	At first everything went well.				
die Angabe,-n	information, specification	Angabe	die			Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.	We need the following information from you: name, address, date of birth.				
angeben, gibt an, gab an, hat angegeben	to boast	angeben				Bitte geben Sie Ihre genaue Adresse an.	Please enter your exact address.				
der Angehörige, -n	relative (cousin, etc)	Angehörige	der			Wir dürfen nur Familienangehörigen Auskunft geben.	We may only provide information to family members.				
angenehm	pleasant	angenehm				Wir wünschen Ihnen eine angenehme Reise.	We wish you a pleasant journey.	Welcher Termin wäre Ihnen angenehm?	Which date would you like?		
"die Angst, -""e"	fear	Angst	die			Du brauchst keine Angst zu haben. Der Hund tut dir nichts.	You do not have to be scared. The dog does nothing to you.	Ich habe Angst, vielleicht ist etwas passiert.	"I'm scared, maybe something happened."		
ängstlich	nervous, worried, timid	ängstlich				Meine Tochter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.	My daughter is a little scared. She does not like to go alone on the street.				
anhaben, hat an, hatte an, hat angehabt	to have on	anhaben				Gestern hatte Julia ein rotes Kleid an.	Yesterday Julia was wearing a red dress.				
ankommen, kommt an, kam an, ist angekommen	to arrive	ankommen				Wann kommt der Zug in Hamburg an?	When does the train arrive in Hamburg?	Es kommt darauf an, dass Sie alle Fragen im Test beantworten.	It is important that you answer all the questions in the test.	Welche Note brauche ich? - Das kommt darauf an, ob Sie studieren möchten oder nicht.	Which grade do I need? - That depends on whether you want to study or not.
"die Ankunft, ""-e"	arrival	Ankunft	die			Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.	The departure is at 0.55 clock, the arrival at 8.07 clock.	Gleich nach der Ankunft habe ich meine Eltern angerufen.	Immediately after arrival, I called my parents.		
die Anlage, -n	music system, attachment, investment	Anlage	die			Meine Musikanlage ist kaputt.	My music system is broken.	In der Anlage finden Sie meinen Lebenslauf.	In the attachment you will find my CV.		
anmelden, meldet an, meldete an, hat angemeldet, angemeldet sein	to announce, make an appointment	anmelden				Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.	You absolutely have to register in advance for this course.	Ich melde meinen Sohn im Kindergarten an.	I enroll my son in kindergarten.		
die Anmeldung, -en	appointment, announcement	Anmeldung	die			Wo bekomme ich die Formulare für die Anmeldung?	Where can I get the registration forms?	Die Anmeldung ist im Erdgeschoss, Zimmer 55.	The registration is on the ground floor, room 55.		
die Anrede, -n	form of address	Anrede	die			Du darfst im Brief die Anrede nicht vergessen.	You must not forget the salutation in the letter.				
anrufen, ruft an, rief an, hat angerufen	to telephone, call, call out	anrufen				Ich rufe Sie heute Abend an.	"I'll call you tonight."				
der Anruf, -e	call	Anruf	der			Ich warte auf einen Anruf aus Berlin.	"I'm waiting for a call from Berlin."	Meine Tochter bekommt viele Anrufe auf ihrem Handy.	My daughter gets many calls on her mobile.		
der Anrufbeantworter, -	answering machine	Anrufbeantworter	der			Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.	I have spoken to you on the answering machine.				
die Ansage, -n	announcement	Ansage	die			Achten Sie auf die Ansage am Bahnsteig.	Pay attention to the announcement on the platform.				
anschaffen, schafft an, schaffte an, hat angeschafft	to purchase	anschaffen				Wir haben uns neue Möbel angeschafft.	We bought new furniture.				
anschließen, schließt an, schloss an, hat angeschlossen	to connect	anschließen				Wo kann ich den Computer anschließen?	Where can I connect the computer?				
"der Anschluss, -""e"	connection (TV, internet)	Anschluss	der			In Mannheim haben Sie Anschluss nach Saarbrücken.	In Mannheim you have connection to Saarbrücken.	Ich brauche in meiner Wohnung einen Telefonanschluss.	I need a telephone connection in my apartment.		
anschnallen, schnallt an, schnallte an, hat angeschnallt	to strap in, fasten seat belt	anschnallen				Vergiss nicht, dich anzuschnallen!	Do not forget to strap on!				
ansehen, sieht an, sah an, hat angesehen	to look at	ansehen				Warum siehst du mich so erschrocken an?	Why are you looking at me so startled?	Darf ich eure Urlaubsfotos ansehen?	May I take a look at your vacation photos?		
ansprechen, spricht an, sprach an, hat angesprochen	to speak to	ansprechen				Gestern hat mich die neue Mieterin im Treppenhaus angesprochen.	Yesterday, the new tenant in the stairwell addressed me.				
"der Anspruch, - ""e"	claim	Anspruch	der			Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.	You live in the city center. Therefore, you are not entitled to fare.				
anstellen, stellt an, stellte an, hat angestellt	to turn on, employ	anstellen				Können Sie bitte die Heizung anstellen?	Can you please turn on the heating?	Mein Schwager ist bei einer Möbelfirma angestellt.	My brother-in-law is employed by a furniture company.	Da vorne ist die Kasse. Du musst dich anstellen.	"There's the cash register at the front. You have to hire yourself."
der Angestellte, -n	employee	Angestellte	der			Björn ist Angestellter in einem Reisebüro.	Björn is a clerk in a travel agency.				
sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt	to tire oneself out, strain oneself	sich anstrengen				Diese Arbeit strengt mich sehr an.	This work is very stressful for me.	Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.	If you want to pass the exam, you have to work harder.		
anstrengend	exhausting	anstrengend				Ich finde diese Arbeit sehr anstrengend.	I find this work very exhausting.				
"der Antrag, -""e"	application, proposal, motion	Antrag	der			Haben Sie schon einen Antrag auf Wohngeld gestellt?	Have you already applied for housing allowance?	Die Anträge bekommen Sie in Zimmer 47.	You will receive the applications in room 47.		
anwenden, wendet an, wandte an, hat angewandt/angewendet	to use, employ, apply	anwenden				Diese Salbe muss man dreimal am Tag anwenden.	This ointment must be used three times a day.				
anwesend	present	anwesend				Bei dem Treffen waren alle Mitglieder anwesend.	At the meeting all members were present.				
antworten, antwortet, antwortete, hat geantwortet	to answer (to a person)	antworten				Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.	Jorge has not responded to my letter for three weeks.				
die Antwort, -en	answer	Antwort	die			Leider habe ich keine Antwort bekommen.	Unfortunately, I did not get an answer.				
"der Anwalt, -""e"	lawyer	Anwalt	der			Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.	I will not pay. I want to talk to my lawyer first.				
anzeigen, zeigt an, zeigte an, hat angezeigt	to report (to police), show, announce	anzeigen				Wenn Sie hier parken, zeige ich Sie an.	"If you park here, I'll show you."				
die Anzeige, -n	advertisement, announcement	Anzeige	die			Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.	You are not allowed to park here, otherwise you will get an ad.	Ich habe alle Wohnungsanzeigen gelesen. Aber das ist alles viel zu teuer.	"I have read all the apartment advertisements. But that's all too expensive."		
anziehen, zieht an, zog an, hat angezogen	to dress	anziehen				Du musst dich wärmer anziehen, sonst erkältest du dich.	You have to dress warmer, otherwise you will catch cold.	Morgen ziehe ich mir etwas Wärmeres an.	Tomorrow I put on something warmer.	Zieh dich bitte an! Wir müssen gehen.	Please dress yourself! We must go.
"der Anzug, -""e"	suit	Anzug	der			Mein Mann hat sich einen neuen Anzug gekauft.	My husband bought a new suit.				
das Apartment, -s	apartment	Apartment	das			Wir haben ein Ferienapartment gemietet.	We rented a holiday apartment.				
"der Apfel, -"""	apple	Apfel	der			Möchtest du einen Apfel?	Do you want an apple?	Ein Pfund Äpfel bitte.	One pound of apples please.		
die Apotheke, -n	pharmacy	Apotheke	die			Ist hier in der Nähe eine Apotheke?	Is there a pharmacy nearby?				
der Apparat, -e	apparatus	Apparat	der			Können Sie den Apparat bitte etwas leiser stellen?	Can you please lower the volume?	Wo ist mein Fotoapparat?	Where is my camera?		
der Appetit, (Sg.)	appetite	Appetit	der			Ich habe heute keinen Appetit. Ich mag nichts essen.	I have no appetite today. I do not like to eat.	Worauf hast du Appetit? Vielleicht auf einen Salat?	"What's your appetite? Maybe on a salad?"	Guten Appetit!	Good Appetite!
die Aprikose, -n	apricot	Aprikose	die			Schmecken dir die Aprikosen?	Do you taste the apricots?				
arbeiten, arbeitet, arbeitete, hat gearbeitet	to work	arbeiten				Meine Cousine arbeitet zu viel.	My cousin works too much.	Arzu arbeitet als Krankenschwester im Krankenhaus.	Arzu works as a nurse in the hospital.		
die Arbeit, -en	work	Arbeit	die			Wie gefällt dir deine Arbeit?	How do you like your work?	Nach der Ausbildung hat Mohamed eine Arbeit gefunden.	After training, Mohamed found a job.		
der Arbeiter, -	worker	Arbeiter	der			Björn ist Arbeiter bei Siemens.	Björn is a worker at Siemens.				
der Arbeitgeber, -	employer	Arbeitgeber	der			Wer ist Ihr Arbeitgeber?	Who is your employer?				
der Arbeitnehmer, -	employee	Arbeitnehmer	der			Die Arbeitnehmer wählen einen Betriebsrat.	The workers elect a works council.				
die Arbeitserlaubnis, -se	work permit	Arbeitserlaubnis	die			Bitte bringen Sie Ihre Arbeitserlaubnis mit.	Please bring your work permit with you.				
arbeitslos	unemployed	arbeitslos				Viele Leute hier sind schon lange arbeitslos.	Many people here are unemployed for a long time.				
die Arbeitslosigkeit, -en	unemployment	Arbeitslosigkeit	die			Die Arbeitslosigkeit ist gesunken.	Unemployment has fallen.				
"der Arbeitsplatz, -""e"	workplace, job, place of work (not S~)	Arbeitsplatz	der			In der Industrie gibt es immer weniger Arbeitsplätze	There are fewer and fewer jobs <u>in the industry</u>				
die Arbeitsstelle, -n	workplace, job, place of work	Arbeitsstelle	die			Meine Frau hat eine neue Arbeitsstelle gefunden.	My wife has found a new job.				
ärgern, ärgert, ärgerte, hat geärgert	to annoy	ärgern				Ärgern Sie sich nicht.	Do not fret.				
der Ärger (Sg.)	annoyance	Ärger	der			Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.	I had trouble in the office today. I quarreled with a colleague.				
ärgerlich	annoying	ärgerlich				Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.	The train is late again. That is really annoying.				
arm	poor	arm				Bitte sammeln Sie Geld für arme Kinder!	Please collect money for poor children!	Ich hätte gerne 200 g fettarmen Käse.	I would like 200 grams of low-fat cheese.		
der Arm, -e	arm	Arm	der			Mein Freund hat sich den Arm gebrochen.	My friend broke his arm.				
die Art, -en	type	Art	die			Okra ist eine Gemüseart.	Okra is a vegetable.				
der Artikel, -	article	Artikel	der			Ich habe einen interessanten Artikel gelesen.	I read an interesting article.	Im Deutschen gibt es drei Artikel: der, die, das.	In German there are three articles: the, the, the.		
"der Arzt, -""e"	doctor	Arzt	der			Ich muss heute zum Arzt.	I have to go to the doctor today.	Wann warst du beim Zahnarzt?	When did you visit the dentist?		
das Asyl, -e	asylum	Asyl	das			Viele Ausländer bitten in der Bundesrepublik um politisches Asyl.	Many foreigners ask for political asylum in the Federal Republic.				
atmen, atmet, atmete, hat geatmet	to breathe	atmen				Er hat eine Erkältung und kann nicht durch die Nase atmen.	He has a cold and can not breathe through his nose.				
auf	on, in, on, up	auf				Deine Brille liegt auf dem Schreibtisch.	Your glasses are on the desk.	Die Kinder spielen unten auf der Straße.	The kids are playing down the street.	Meine Eltern leben auf dem Land.	My parents live in the countryside.
der Aufenthalt, -e	stay, delay, stop	Aufenthalt	der			Der Zug hat in München nur 20 Minuten Aufenthalt.	The train has only 20 minutes stay in Munich.	Haben Sie eine gültige Aufenthaltserlaubnis?	Do you have a valid residence permit?	Wir wünschen Ihnen einen angenehmen Aufenthalt.	We wish you a pleasant stay.
auffallen, fällt auf, fiel auf, ist aufgefallen	to be noticeable, make an impression	auffallen				Mir ist aufgefallen, dass Harriett ganz blass ist.	I noticed that Harriett is very pale.				
die Aufforderung, -en	order, invitation	Aufforderung	die			Sie erhalten eine Zahlungsaufforderung.	You will receive a payment request.				
aufführen, führt auf, führte auf, hat aufgeführt	to perform, list, specify	aufführen				Die Kinder führen zu Weihnachten ein Theaterstück auf.	The children perform a play at Christmas.				
die Aufgabe, -n	task, exercise	Aufgabe	die			Hast du deine Hausaufgaben für die Schule schon gemacht?	Have you already done your homework for the school?	Das ist nicht meine Aufgabe.	This is not my task.		
