full_d	base_e	base_d	artikel_d	Sample sentence	Sample sentence Typing Corrects	pos	audio	s1	s2
	not	nicht		Ich kann nicht kommen.		part	[sound:fa4a14bc-d1e9-547a-b29e-ee09ead02804.mp3]	Ich kann nicht kommen.	
die Jahre	year	Jahr	das 	Das Jahr geht zu Ende.		noun	[sound:325a6575-808e-50ae-b410-a25c98a7bbe4.mp3]	Das Jahr geht zu Ende.	
wird; wurde; ist geworden	to become, get	werden		Ich werde müde.			[sound:affec09d-29f0-541b-926d-e81efc66fa4e.mp3]	Ich werde müde.	
	public	öffentlich		Die Sitzung des Parlaments ist öffentlich.	Jan Hus wurde in aller Offentlichkeit hingerichtet., Jan Hus wurde in aller Öffentlichkeit hingerichtet.	adj	[sound:18a7da24-0dc1-5728-a49f-9c78f28d7937.mp3]	Die Sitzung des Parlaments ist öffentlich.	
	1) so, thus, this way, such; 2) so	so		1) Das musst du so machen. 2) Der Kuchen ist so lecker.			[sound:e13177f4-93d6-5b3a-87b1-b749ee82c32f.mp3]	Das musst du so machen.	Der Kuchen ist so lecker.
	-self	sich		Sie hat sich im Spiegel gesehen.		pron	[sound:ac72a75d-8f61-535a-8378-dc0b61253332.mp3]	Sie hat sich im Spiegel gesehen.	
	not only...but also	nicht nur...sondern auch		Diese Kirche ist nicht nur an Festtagen, sondern auch an gewöhnlichen Sonntagen gut besucht.			[sound:ec47774e-7dd2-519f-929b-b80a42a190b2.mp3]	Diese Kirche ist nicht nur an Festtagen, sondern auch an gewöhnlichen Sonntagen gut besucht.	
	still, yet	noch		Habt ihr noch Fragen?		adv	[sound:4a735775-63a0-514b-9d8f-df7dcb25a5f9.mp3]	Habt ihr noch Fragen?	
	after, towards	nach		Nach dem Mittagessen gehen wir spazieren.		prep	[sound:31b1f293-36dd-5d57-83a3-fa246550512c.mp3]	Nach dem Mittagessen gehen wir spazieren.	
	so	also		Du hast also keine Zeit.		adv	[sound:903c7e45-4c1b-5885-9e76-0d96348d4169.mp3]	Du hast also keine Zeit.	
	little by little	nach und nach		Nach und nach verschwinden alle.			[sound:16b55cb8-0e3d-5f44-8987-3dad27ae92f5.mp3]	Nach und nach verschwinden alle.	
	you (plural, informal) / her, their	ihr		1) Habt ihr das gewusst? 2) Ich höre ihr zu.	Ist das Ihr Hund?	pron	[sound:6fd5735d-4c43-5ab8-b8db-dae8186419ec.mp3]	Habt ihr das gewusst?	Ich höre ihr zu.
	what	was		Was hast du gesagt?		pron	[sound:97b33d87-f367-5170-bdf5-0c615949646f.mp3]	Was hast du gesagt?	
	that	dass		Schön, dass Sie kommen!		conj	[sound:ae275fb5-bcc6-53a0-b683-c30964ee5fda.mp3]	Schön, dass Sie kommen!	
	by, with, at	bei		Sie war gestern beim Zahnarzt.		prep	[sound:ccd11177-b639-5d66-9056-cf35d50ff64f.mp3]	Sie war gestern beim Zahnarzt.	
	or	oder		Möchtest du lieber Spaghetti oder Tortellini?		conj	[sound:0043eee7-cea9-5670-9eb0-5f76248404e4.mp3]	Möchtest du lieber Spaghetti oder Tortellini?	
	yes / certainly	ja		1) Ja, ich bin damit einverstanden. 2) Das ist ja komisch.		part	[sound:45b5c86b-e77c-51d8-948e-fa79a66186fd.mp3]	Ja, ich bin damit einverstanden.	Das ist ja komisch.
	then	dann		Dann gehen wir schwimmen.		adv	[sound:30fef954-4663-5e54-8072-a15ad000da05.mp3]	Dann gehen wir schwimmen.	
	1) there; 2) because	da		1) Da oben fliegt ein Adler. 2) Da ich nichts von dem Treffen wusste, konnte ich auch nicht kommen.			[sound:3267a8e2-9419-598f-a58d-ba0fafccffc7.mp3]	Da oben fliegt ein Adler.	Da ich nichts von dem Treffen wusste, konnte ich auch nicht kommen.
	his, its	sein		Seine Tochter geht schon zur Schule.	Ich bin Student.	pron	[sound:0f1dd6c7-e77f-5601-8762-9804b38e5b61.mp3]	Seine Tochter geht schon zur Schule.	
	something like that	so was		Hast du so was schon mal gegessen?			[sound:508411ee-3a4d-591c-850e-5d18ea09375e.mp3]	Hast du so was schon mal gegessen?	
	not at all (noch ~)	noch gar nicht		Erwin hat noch gar nicht gefrühstückt.			[sound:b91046af-f988-572e-8aca-e33790677efb.mp3]	Erwin hat noch gar nicht gefrühstückt.	
kann; konnte; hat gekonnt	to be able to, can	können		Ingrid kann Klavier spielen.		verb	[sound:6e4b8ab9-e0f5-5e1c-872d-bdf88ec1e859.mp3]	Ingrid kann Klavier spielen.	
	this, that	dies		Diese Studenten kommen aus Ungarn.		pron	[sound:7daa97a5-7193-582e-898c-bab05e950d1a.mp3]	Diese Studenten kommen aus Ungarn.	
	1) as, when; 2) than	als		1) Als er jung war, wohnte er in Berlin. 2) Er ist kleiner als sein Bruder.			[sound:e7068f03-f9e1-54c1-83f7-a4a30b9774ea.mp3]	Als er jung war, wohnte er in Berlin.	Er ist kleiner als sein Bruder.
	still (nach ~)	nach wie vor		Ich bin nach wie vor der Meinung, dass wir mehr sparen müssen.			[sound:ac63ccde-73ae-5e5d-bbc1-498f5afe9a61.mp3]	Ich bin nach wie vor der Meinung, dass wir mehr sparen müssen.	
	we	wir		Wir arbeiten jeden Tag zehn Stunden.		pron	[sound:57005412-8d8e-58df-acf7-14472e1fce67.mp3]	Wir arbeiten jeden Tag zehn Stunden.	
	1) how; 2) as	wie		1) Wie spät ist es? 2) Anna ist genauso groß wie Frank.			[sound:859435e4-83be-573d-920a-71a770974272.mp3]	Wie spät ist es?	Anna ist genauso groß wie Frank.
	but	aber		Du hast Recht, aber ich auch.		conj	[sound:9979d463-36a7-5bff-aa09-8403fb712450.mp3]	Du hast Recht, aber ich auch.	
	one, you	man		Das macht man nicht.		pron	[sound:952c1295-b70a-568f-a9c9-5f50e3e97fb5.mp3]	Das macht man nicht.	
	all	all, alle		Wir sind alle fleißig.		pron	[sound:ac7d94fa-9424-5aa3-84ec-90460f5ad080.mp3]	Wir sind alle fleißig.	
muß; musste; hat gemusst	to have to, must	müssen		Man muss das Abitur haben, um zu studieren.		verb	[sound:fd5b9fdd-c587-5989-a26d-5235f730c687.mp3]	Man muss das Abitur haben, um zu studieren.	
	only	nur		Ich habe nur noch einen Euro.		adv	[sound:a86eee08-967c-5618-9fb3-3d67a557b424.mp3]	Ich habe nur noch einen Euro.	
	you (familiar, singular)	du		Du bist blöd.		pron	[sound:af1553d8-897c-5807-b9b0-47d807b3c64d.mp3]	Du bist blöd.	
	above all (short)	vor allem		Vor allem geht es wieder ums Geld.			[sound:391646d3-f169-5ae1-a155-79fe4fb6e1bd.mp3]	Vor allem geht es wieder ums Geld.	
	no more...either	auch nicht mehr		Daran habe ich auch nicht mehr gedacht.			[sound:575d9427-7b9f-5ace-a114-a640ecc4b486.mp3]	Daran habe ich auch nicht mehr gedacht.	
	my, mine	mein		Meine Katze ist weggelaufen.		pron	[sound:1693d7d1-b20a-572a-83b5-9ecd66eb4b16.mp3]	Meine Katze ist weggelaufen.	
	other (a~)	ander		Ich reise gern in andere Länder.		adj	[sound:b34117a6-e0c0-59a8-b75e-ccf6275137ed.mp3]	Ich reise gern in andere Länder.	
	already (s~)	schon		Ich habe schon gegessen.		adv	[sound:ad720dd4-6d9a-5e82-9e95-d7a4bce8b349.mp3]	Ich habe schon gegessen.	
sagt; sagte; hat gesagt	to say	sagen		Conny sagt ihrem Mann die Wahrheit.		verb	[sound:6d8ee921-f282-5781-90be-1d1e59f42b7e.mp3]	Conny sagt ihrem Mann die Wahrheit.	
	more than	mehr als		In den Saal passen nicht mehr als 40 Leute.			[sound:74f166db-2ddb-5e95-a4ee-1c8f9e0e2a3a.mp3]	In den Saal passen nicht mehr als 40 Leute.	
	more	mehr		Nächste Woche hat Barbara wieder mehr Zeit.		adv	[sound:bdeec1fd-54ce-536f-9b7a-2ef19a480eee.mp3]	Nächste Woche hat Barbara wieder mehr Zeit.	
	in front of, before, ago	vor		Ich stelle mein Fahrrad vor das Haus.		prep	[sound:d49beca8-4777-5ea5-9908-906a0e9bde56.mp3]	Ich stelle mein Fahrrad vor das Haus.	
macht; machte; hat gemacht	to do, make	machen		Ich mache meine Hausaufgaben.		verb	[sound:ecaf508f-869d-56f2-83b5-eb4820c55968.mp3]	Ich mache meine Hausaufgaben.	
	no (k~)	kein		In Deutschland wachsen keine Ananas.		prep	[sound:5a528d19-334f-50d2-b082-43bdc4bee223.mp3]	In Deutschland wachsen keine Ananas.	
	if, when	wenn		Wenn es regnet, bleiben wir zu Hause.		conj	[sound:89fe23d0-7ee9-5018-97bc-a55918f461bb.mp3]	Wenn es regnet, bleiben wir zu Hause.	
	around, at	um		Der Hund läuft um das Haus.		prep	[sound:9755d902-bedd-514e-bbb0-368dc5e0a42a.mp3]	Der Hund läuft um das Haus.	
	among other	unter anderem (u.a.)		Im Kino läuft unter anderem gerade Casablanca.			[sound:43af5102-8d65-5a75-8d7b-39eacda06c50.mp3]	Im Kino läuft unter anderem gerade Casablanca.	
	to oneself, along	vor sich hin		Johann sagte den Spruch immer wieder laut vor sich hin.			[sound:1e46f7cc-33c4-5650-9f8e-8cdc282b59fc.mp3]	Johann sagte den Spruch immer wieder laut vor sich hin.	
	through	durch		Frau Ehmke spaziert durch die Stadt.		prep	[sound:feee37c3-0f3a-5dcb-93b7-811110d2779a.mp3]	Frau Ehmke spaziert durch die Stadt.	
