ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
231747,Kylian Mbappé,23,France,91,95,Paris Saint Germain,190500000,23000000,ST
192985,Kevin De Bruyne,31,Belgium,91,91,Manchester City,107500000,35000000,CM
188545,Robert Lewandowski,33,Poland,91,91,FC Barcelona,84000000,42000000,ST
165153,Karim Benzema,34,France,91,91,Real Madrid,64000000,45000000,CF
158023,Lionel Messi,35,Argentina,91,91,Paris Saint Germain,54000000,19500000,RW
209331,Mohamed Salah,30,Egypt,90,90,Liverpool,115500000,27000000,RW
192119,Thibaut Courtois,30,Belgium,90,91,Real Madrid,90000000,25000000,GK
167495,Manuel Neuer,36,Germany,90,90,FC Bayern München,13500000,7200000,GK
239085,Erling Haaland,21,Norway,89,94,Manchester City,160000000,23000000,ST
212831,Alisson Ramses Becker,29,Brazil,89,90,Liverpool,79000000,19000000,GK
212622,Joshua Kimmich,27,Germany,89,90,FC Bayern München,105500000,13000000,CDM
210257,Ederson Santana de Moraes,28,Brazil,89,91,Manchester City,88000000,21000000,GK
208722,Sadio Mané,30,Senegal,89,89,FC Bayern München,101000000,15500000,CF
203376,Virgil van Dijk,30,Netherlands,89,89,Liverpool,84500000,22000000,CB
202126,Harry Kane,28,England,89,89,Tottenham Hotspur,105500000,24000000,ST
200389,Jan Oblak,29,Slovenia,89,91,Atlético Madrid,85500000,10000000,GK
200145,Carlos Henrique Venancio Casimiro,30,Brazil,89,89,Manchester United,86000000,24000000,CDM
200104,Heung Min Son,29,Korea Republic,89,89,Tottenham Hotspur,101000000,24000000,LW
190871,Neymar da Silva Santos Jr.,30,Brazil,89,89,Paris Saint Germain,99500000,20000000,LW
20801,C. Ronaldo dos Santos Aveiro,37,Portugal,89,89,Manchester United,35000000,21000000,ST
239818,Rúben Santos Gato Alves Dias,25,Portugal,88,91,Manchester City,107500000,23000000,CB
230621,Gianluigi Donnarumma,23,Italy,88,92,Paris Saint Germain,103500000,11000000,GK
218667,Bernardo Mota Carvalho e Silva,27,Portugal,88,88,Manchester City,97500000,26000000,CAM
215914,N'Golo Kanté,31,France,88,88,Chelsea,64000000,21000000,CDM
210514,João Pedro Cavaco Cancelo,28,Portugal,88,88,Manchester City,82500000,25000000,LB
207865,Marcos Aoás Corrêa,28,Brazil,88,90,Paris Saint Germain,92000000,17000000,CB
193041,Keylor Navas,35,Costa Rica,88,88,Paris Saint Germain,10000000,8500000,GK
192448,Marc-André ter Stegen,30,Germany,88,89,FC Barcelona,68500000,21000000,GK
182521,Toni Kroos,32,Germany,88,88,Real Madrid,72000000,31000000,CM
177003,Luka Modrić,36,Croatia,88,88,Real Madrid,29000000,23000000,CM
231866,Rodrigo Hernández Cascante,26,Spain,87,89,Manchester City,88500000,20000000,CDM
228702,Frenkie de Jong,25,Netherlands,87,92,FC Barcelona,116500000,23000000,CM
216267,Andrew Robertson,28,Scotland,87,87,Liverpool,72000000,18500000,LB
215698,Mike Maignan,26,France,87,90,Milan,80000000,9000000,GK
209658,Leon Goretzka,27,Germany,87,88,FC Bayern München,91000000,11500000,CM
205452,Antonio Rüdiger,29,Germany,87,88,Real Madrid,73500000,25000000,CB
201024,Kalidou Koulibaly,31,Senegal,87,87,Chelsea,54500000,17500000,CB
199556,Marco Verratti,29,Italy,87,87,Paris Saint Germain,77500000,15500000,CM
193080,David De Gea Quintana,31,Spain,87,87,Manchester United,42000000,15000000,GK
189596,Thomas Müller,32,Germany,87,87,FC Bayern München,63000000,11500000,CAM
238794,Vinícius José de Oliveira Júnior,21,Brazil,86,92,Real Madrid,109000000,20000000,LW
234642,Édouard Mendy,30,Senegal,86,87,Chelsea,51000000,13000000,GK
232411,Christopher Nkunku,24,France,86,89,RB Leipzig,94000000,9000000,CF
232363,Milan Škriniar,27,Slovakia,86,87,Inter,68500000,10500000,CB
