Time	PANDAS 001	PANDAS 002	PANDAS 003	PANDAS 004
2023-01-06 08:00	0 days 00:22:00			
2023-01-06 13:08		0 days 00:12:00		
2023-01-07 23:05		0 days 00:19:00		
2023-01-08 13:11	0 days 00:22:00			
2023-01-10 21:45		0 days 00:10:00		
2023-01-12 00:52	0 days 00:31:00			
2023-01-12 20:16		0 days 00:22:00		
2023-01-13 23:41			0 days 00:06:00	
2023-01-16 23:29 		0 days 00:10:00		
2023-01-17 23:55 	0 days 00:23:00			
2023-01-18 22:02 			0 days 00:05:00	
2023-01-20 22:41				0 days 00:23:00
2023-01-21 14:10 		0 days 00:26:00		
2023-01-22 11:10 	0 days 00:31:00			
