Time	001_python_music_randomiser	004_real_python_queues A	004_real_python_queues B	GOOGLEAPPS 001	PANDAS 001	PANDAS 002	PANDAS 003	PANDAS 004	PANDAS 006 anki	PANDAS 007 Car	PANDAS 008 anki nlp	PANDAS 009	PYTHON_DABAEZ 001	PYTHON_FROM_DOCS 002	PYTHON_REAL_PYTHON 001	PYTHON_REAL_PYTHON 002
06-08-2023									0 days 00:32:00							
06-08-2023										0 days 00:09:00						
2023-01-06 08:00					0 days 00:22:00											
2023-01-06 13:08						0 days 00:12:00										
2023-01-07 23:05						0 days 00:19:00										
2023-01-08 13:11					0 days 00:22:00											
2023-01-10 21:45						0 days 00:10:00										
2023-01-12 00:52					0 days 00:31:00											
2023-01-12 20:16						0 days 00:22:00										
2023-01-13 23:41							0 days 00:06:00									
2023-01-16 23:29						0 days 00:10:00										
2023-01-17 23:55					0 days 00:23:00											
2023-01-18 22:02							0 days 00:05:00									
2023-01-20 22:41								0 days 00:23:00								
2023-01-21 14:10						0 days 00:26:00										
2023-01-22 11:10					0 days 00:31:00											
2023-01-23 23:18							0 days 00:12:00									
2023-01-24 22:58								0 days 00:25:00								
2023-01-26 00:29						0 days 00:15:00										
2023-01-26 21:02					0 days 00:25:00											
2023-01-27 21:56								0 days 00:36:00								
2023-01-28 11:43							0 days 01:19:00									
2023-01-29 23:08														0 days 01:00:00		
2023-01-31 22:18								0 days 00:20:00								
2023-02-01 23:00						0 days 00:10:00										
2023-02-09 23:54														0 days 00:40:00		
2023-02-10 23:30					0 days 00:36:00											
2023-02-11 16:36							0 days 00:26:00									
2023-02-12 21:40								0 days 00:21:00								
2023-03-05 00:54						0 days 00:14:00										
2023-03-05 23:58														0 days 00:29:00		
2023-03-07 01:38							0 days 00:29:00									
2023-03-14 23:59					0 days 00:47:00											
2023-03-15 21:01								0 days 00:22:00								
2023-03-17 00:03								0 days 00:15:00								
2023-03-18 00:26														0 days 00:29:00		
2023-03-19 21:21						0 days 00:14:00										
2023-03-21 01:08							0 days 00:34:00									
2023-03-21 23:39					0 days 00:32:00											
2023-03-22 19:44														0 days 00:45:00		
2023-03-25 01:14								0 days 00:18:00								
2023-03-26 03:16							0 days 00:22:00									
2023-03-26 22:19						0 days 00:23:00										
2023-03-28 01:09														0 days 00:14:00		
2023-03-29 00:42					0 days 00:23:00											
2023-03-29 23:22								0 days 00:16:00								
2023-03-31 00:43							0 days 00:23:00									
2023-04-03 01:11														0 days 00:26:00		
2023-04-06 01:54						0 days 00:12:00										
2023-04-06 21:35								0 days 00:15:00								
2023-04-07 15:13					0 days 00:20:00											
2023-04-10 12:56							0 days 00:20:00									
2023-04-16 16:41														0 days 00:27:00		
2023-04-17 22:45								0 days 00:15:00								
2023-04-19 23:37						0 days 00:08:00										
2023-04-22 13:28					0 days 00:20:00											
2023-04-23 23:21				0 days 01:52:00												
2023-04-24 23:46				0 days 01:07:00												
2023-04-25 22:20				0 days 00:21:00												
2023-04-26 20:29							0 days 00:20:00									
2023-04-28 22:20														0 days 00:22:00		
2023-05-02 21:06								0 days 00:14:00								
2023-05-04 00:05				0 days 00:22:00												
2023-05-13 14:35									0 days 06:00:00							
2023-05-14 22:05									0 days 01:22:00							
2023-05-16 00:45						0 days 00:11:00										
2023-05-16 22:53					0 days 00:31:00											
2023-05-20 16:19							0 days 00:19:00									
2023-05-26 00:08				0 days 00:26:00												
2023-05-27 01:42														0 days 00:27:00		
2023-05-28 03:17										0 days 01:19:00						
2023-05-29 00:11										0 days 00:38:00						
2023-06-03 18:41										0 days 00:11:00						
2023-06-07 01:01										0 days 00:14:00						
2023-06-07 22:38								0 days 00:43:00								
2023-06-08 23:59									0 days 01:30:00							
2023-06-11 15:02									0 days 00:33:00							
2023-06-13 00:06											0 days 00:39:00					
2023-06-14 23:43											0 days 02:02:00					
2023-06-15 20:28						45092 days 19:17:00										
2023-06-15 20:39						0 days 00:10:00										
2023-06-20 01:17															0 days 00:25:00	
2023-06-20 22:28															0 days 00:24:00	
2023-06-22 23:53															0 days 00:33:00	
2023-06-24 02:03															0 days 00:55:00	
2023-06-27 00:21															0 days 00:30:00	
2023-06-30 22:55															0 days 00:21:00	
2023-07-02 01:10															0 days 00:32:00	
2023-07-19 01:18															0 days 00:34:00	
2023-07-20 23:30															0 days 00:29:00	
2023-08-03 18:19					0 days 00:28:00											
2023-08-03 23:11				0 days 00:44:00												
2023-08-06 17:49							0 days 00:20:00									
2023-08-06 18:12														0 days 00:19:00		
2023-08-21 01:05										0 days 00:09:00						
2023-08-27 02:45											0 days 00:38:00					
2023-08-27 22:14								0 days 00:24:00								
2023-08-27 23:32						0 days 00:09:00										
2023-08-28 00:00															0 days 00:25:00	
2023-08-28 22:18				0 days 00:27:00												
2023-08-28 23:32					0 days 00:25:00											
2023-09-02 22:40														0 days 00:21:00		
2023-09-05 00:54																0 days 00:44:00
2023-09-08 01:31																0 days 00:40:00
2023-09-08 20:59							0 days 00:22:00									
2023-09-19 23:38													0 days 00:19:00			
2023-09-21 00:39													0 days 00:21:00			
2023-09-23 01:45											0 days 00:21:00					
2023-09-29 00:56										0 days 00:11:00						
2023-09-29 23:59				0 days 00:31:00												
2023-09-30 19:27								0 days 00:22:00								
2023-09:03 23:41																0 days 04:00:00
2023-10-13 23:32																0 days 00:50:00
2023-11-12 14:26												0 days 04:20:00				
2023-12-05 08:42												0 days 00:28:00				
2023-12-06 09:14												0 days 00:51:00				
2023-12-08 08:20					0 days 00:39:00											
2023-12-19 08:13															0 days 00:37:00	
2023-12-20 09:02						0 days 00:13:00										
2023-12-21 08:45														0 days 00:18:00		
2023-12-22 08:39													0 days 00:23:00			
2023-12-24 01:16							0 days 00:21:00									
2023-12-24 13:06											0 days 00:36:00					
2023-12-25 01:48		0 days 01:43:00														
2023-12-31 14:46		0 days 00:49:00														
2023-12-31 21:17		0 days 00:46:00														
2024-01-03 08:52		0 days 00:34:00														
2024-01-04 08:57			0 days 00:29:00													
2024-01-05 08:47			0 days 00:30:00													
